applicant_id,name,similarity,distance,decision,error
1,Weslley,61.5883,0.384117,manual_review,
2,Juliana,49.011300000000006,0.509887,manual_review,
3,Luis,26.581600000000005,0.734184,manual_review,
4,Rayanne,55.747499999999995,0.442525,manual_review,
5,Fernanda,45.548100000000005,0.544519,manual_review,
6,Daiane,42.7197,0.572803,manual_review,
7,Alejandra,55.468300000000006,0.445317,manual_review,
8,Matheus,54.01519999999999,0.459848,manual_review,
9,Bruno,56.9674,0.430326,manual_review,
10,Gabriel,50.718700000000005,0.492813,manual_review,
11,Clarissa,43.747899999999994,0.562521,manual_review,
12,Andrea_Ran,35.7483,0.642517,manual_review,
13,Paolo,16.690799999999996,0.833092,manual_review,
14,Miia,42.7269,0.572731,manual_review,
15,Klara,35.784099999999995,0.642159,manual_review,
16,Diego,27.618,0.72382,manual_review,
17,Ewa,48.3722,0.516278,manual_review,
18,Anna,16.339000000000002,0.83661,manual_review,
19,Kateryna,45.3395,0.546605,manual_review,
20,Mykhailo,70.45270000000001,0.295473,auto_approve,
21,Vitalijs,44.7323,0.552677,manual_review,
22,Alessandro,45.3816,0.546184,manual_review,
23,Mark,45.9195,0.540805,manual_review,
24,Massimiliano,70.331,0.29669,auto_approve,
25,Kasia,38.436099999999996,0.615639,manual_review,
26,Anastasia,47.897,0.52103,manual_review,
27,Valeriia,41.054100000000005,0.589459,manual_review,
28,Weslley_vs_Alessandro,21.049700000000005,0.789503,manual_review,
29,Juliana_vs_Fernanda,30.9565,0.690435,manual_review,
30,Luis_vs_Weslley,16.313100000000002,0.836869,manual_review,
31,Rayanne_vs_Andrea_Ran,6.3531,0.936469,manual_review,
32,Fernanda_vs_Gabriel,15.149900000000006,0.848501,manual_review,
33,Daiane_vs_Paolo,4.887300000000005,0.951127,manual_review,
34,Alejandra_vs_Matheus,6.1104999999999965,0.938895,manual_review,
35,Matheus_vs_Daiane,0.0,1.032657,manual_review,
36,Bruno_vs_Valeriia,21.034600000000005,0.789654,manual_review,
37,Gabriel_vs_Rayanne,24.210500000000003,0.757895,manual_review,
38,Clarissa_vs_Massimiliano,5.1728,0.948272,manual_review,
39,Andrea_Ran_vs_Luis,3.7470000000000003,0.96253,manual_review,
40,Paolo_vs_Juliana,3.5799000000000025,0.964201,manual_review,
